City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Vila Velha,BR,84.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
417,Garowe,SO,78.1,overcast clouds,8.4054,48.4845,Curubo Hotel
418,Gharo,PK,82.62,clear sky,24.7424,67.5856,Fotis Lodge
421,Mastic Beach,US,77.31,few clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
423,Neuquen,AR,65.01,clear sky,-38.9516,-68.0591,Hotel del Comahue
424,Bowen,AU,74.34,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
426,Vallenar,CL,76.28,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
429,Suba,PH,82.45,overcast clouds,10.8438,121.0102,Casita Bed and Grill
430,Porto Novo,BJ,78.66,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
432,Elk City,US,81.09,scattered clouds,35.412,-99.4043,Hampton Inn & Suites Elk City
433,Paita,PE,69.57,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
437,Coquimbo,CL,60.46,clear sky,-29.9533,-71.3436,Punto de encuentro
439,Guatire,VE,79.05,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
442,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
444,Loreto,MX,70.63,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
445,Olindina,BR,84.04,clear sky,-11.3667,-38.3333,Pousada Maria Bonita
446,Sawtell,AU,61.18,broken clouds,-30.3833,153.1,Island Beach House Sawtell
449,Mala,PE,66.92,few clouds,-12.6581,-76.6308,Hotel Granda
451,Poya,NC,74.23,clear sky,-21.35,165.15,
453,Paralimni,CY,75.11,clear sky,35.0375,33.9833,Amore Hotel Apartments
454,Yatou,CN,73.24,moderate rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
457,Vao,NC,71.83,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
458,Wuan,CN,77.76,clear sky,31.6836,112.0044,武镇大酒店
461,Puerto Baquerizo Moreno,EC,70.05,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
464,Quatre Cocos,MU,73.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
465,Vanimo,PG,75.92,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
466,Pa Daet,TH,75.16,light rain,19.5049,99.9924,โรงแรมฝ้ายคำ
471,Lorengau,PG,79.07,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
472,Indianola,US,77.88,scattered clouds,41.3581,-93.5574,Quality Inn Indianola
473,Hamilton,US,71.62,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
475,Isangel,VU,76.96,clear sky,-19.55,169.2667,Tanna Lodge
478,San Cristobal,VE,84.38,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
480,Kilindoni,TZ,76.93,scattered clouds,-7.9139,39.6668,Bustani B&B
481,Jackson,US,74.91,overcast clouds,42.4165,-122.8345,Agate Village Apartments
482,Minapasuk,PH,73.54,light rain,10.6988,123.3536,Julia Abrigoso Residences
486,Vaitape,PF,78.67,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
487,Acajutla,SV,84.79,scattered clouds,13.5928,-89.8275,asi es
490,Hasaki,JP,66.6,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
491,Krk,HR,68.05,clear sky,45.0258,14.5731,Koralj Sunny Hotel by Valamar
