City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Husavik,IS,2021-10-03 19:50:21,66.0449,-17.3389,44.51,98,100,18.9,overcast clouds
225,Chuy,UY,2021-10-03 19:48:24,-33.6971,-53.4616,58.95,60,62,12.28,broken clouds
226,Aklavik,CA,2021-10-03 19:55:36,68.2191,-135.0107,34.52,93,90,16.11,overcast clouds
227,Lavrentiya,RU,2021-10-03 19:48:20,65.5833,-171.0,24.6,70,15,3.06,few clouds
228,Saldanha,ZA,2021-10-03 19:48:47,-33.0117,17.9442,53.65,71,0,25.64,clear sky
229,Finote Selam,ET,2021-10-03 20:00:23,10.7,37.2667,59.63,94,100,2.98,light rain
230,Wamba,NG,2021-10-03 20:00:23,8.9333,8.6,75.36,87,10,0.4,clear sky
231,Alamor,EC,2021-10-03 20:00:24,-4.0181,-80.0197,73.4,55,92,5.64,overcast clouds
232,Byron Bay,AU,2021-10-03 19:52:46,-28.65,153.6167,64.87,57,33,8.34,scattered clouds
233,Lagoa,PT,2021-10-03 19:50:48,39.05,-27.9833,70.74,92,54,12.66,broken clouds
234,Marystown,CA,2021-10-03 20:00:25,47.1666,-55.1483,58.86,100,20,3.0,few clouds
235,San Patricio,US,2021-10-03 19:52:00,28.017,-97.5169,90.28,50,78,7.74,broken clouds
236,Minbu,MM,2021-10-03 20:00:26,20.1833,94.8833,75.88,92,17,4.94,few clouds
237,Miraflores,MX,2021-10-03 20:00:26,19.2167,-98.8083,72.03,74,98,1.16,overcast clouds
238,Tezu,IN,2021-10-03 20:00:27,27.9167,96.1667,73.42,99,100,1.86,overcast clouds
239,Talkha,EG,2021-10-03 20:00:27,31.0539,31.3779,67.57,79,0,5.55,clear sky
240,Kiyasovo,RU,2021-10-03 20:00:28,56.3491,53.1244,32.83,65,84,6.38,broken clouds
241,Clearwater,US,2021-10-03 19:48:40,27.9659,-82.8001,90.09,54,40,3.0,scattered clouds
242,Palm Coast,US,2021-10-03 19:55:39,29.585,-81.2078,85.05,61,28,1.01,scattered clouds
243,Qasigiannguit,GL,2021-10-03 20:00:29,68.8193,-51.1922,28.65,71,99,1.23,overcast clouds
244,Saint George,US,2021-10-03 19:56:10,37.1041,-113.5841,88.63,19,2,3.0,clear sky
245,Chaman,PK,2021-10-03 20:00:30,30.9236,66.4512,62.44,22,0,4.54,clear sky
246,Neepawa,CA,2021-10-03 20:00:30,50.2289,-99.4664,74.8,21,8,12.75,clear sky
247,Harper,LR,2021-10-03 19:57:05,4.375,-7.7169,78.46,88,100,6.08,overcast clouds
248,Nouadhibou,MR,2021-10-03 20:00:31,20.931,-17.0347,73.18,74,0,21.68,clear sky
249,Faya,SA,2021-10-03 19:53:50,18.3851,42.4509,64.51,41,94,0.87,overcast clouds
250,Inhambane,MZ,2021-10-03 20:00:31,-23.865,35.3833,72.46,93,99,5.77,light rain
